Word,Count
아리아,3340
오늘,1559
아리야,972
나,689
네,651
좀,621
누구,606
노래,534
시,519
기능,437
때,428
수,423
뭐,423
음악,422
시간,385
분,382
지금,374
날씨,372
것,361
일,352
요,334
내일,318
내,294
등,261
집,237
제,229
저,221
사람,220
검색,209
주식회사,208
거,207
이두희,205
현재,205
알람,205
너무,203
가상,202
날,188
추천,185
더,184
영화,182
아침,181
연동,179
월,178
이,174
정보,174
뉴스,173
일정,172
기분,164
설정,163
전화,157
말,151
이름,150
예,149
주인,147
하루,147
요즘,146
그,145
후,144
재생,141
팅커벨,140
사용자,138
가장,134
친구,131
아리,131
소리,130
음성,128
비,127
답변,127
이번,125
번,125
드릴,123
우리,120
대화,119
다음,119
어디,116
레베카,115
생일,114
해,114
당신,113
질문,112
마음,111
너,111
목소리,111
곡,110
언제,110
무슨,106
경우,106
아이디어,104
영어,104
버스,104
아이,103
위,102
곳,100
문자,99
저녁,98
답,98
오후,96
옷,95
음식,95
정말,92
스마트폰,92
중,91
레시피,89
라디오,89
엄마,89
다시,88
전,88
볼륨,88
원,87
의,85
를,85
가을,83
멜론,83
책,83
어제,83
상황,82
내용,81
및,81
얼마,81
앱,81
근처,80
얼마나,80
지진,79
위치,79
도,78
회사,78
크리스탈,78
연결,78
하나,78
와,77
생각,77
모드,76
예약,75
주,75
조금,75
무엇,73
방법,73
꼭,72
메뉴,72
뭘,71
치킨,70
개발,69
안,69
단어,69
맛집,69
녹음,69
바로,68
정도,68
운세,68
핸드폰,68
먼저,68
서울,67
메모,67
택시,67
등등,66
우산,65
한번,65
도움,64
플레이,64
개,64
리스트,63
병원,63
결과,63
실시간,63
잠,63
알,62
이제,62
일이,62
대한,62
무드등,62
봐,61
선물,61
로,61
음,60
배달,60
오전,60
건,60
서비스,59
다른,59
제일,59
어플,58
약,58
대답,58
위해,58
저장,58
뒤,57
경기,57
주요,57
달,57
가족,56
점심,56
통해,56
세상,55
이야기,55
자동,55
글,54
사랑,54
운동,54
안내,54
준,54
예정,54
넌,54
대해,53
줄,53
알림,53
순위,53
도착,53
적용,52
공부,52
어,52
몇,52
패션,51
화이팅,51
지역,51
통화,51
번호,50
데이터,49
아기,49
부분,49
혼자,49
인기,49
명령,49
주변,49
때문,48
사용,48
칼로리,48
못,47
가지,47
걸,47
축제,46
년,46
