user,10-Minute Sausage Skillet with Cherry Tomatoes and Broccolini ,Baked Feta and Greens with Lemony Yogurt ,Baked Mustard-Crusted Salmon with Asparagus and Tarragon ,Baked Penne with Green Chiles ,Basil-Cashew-Lime Vermicelli Bowls with Pork and Green Beans ,Beef Chili ,Beef and Potato Pasties ,Big-Batch Roasted Kale ,Black-Eyed Peas With Chard and Green Herb Smash ,Bourbon Pumpkin Pie ,"Braised Rotisserie Chicken with Bacon, Tomatoes, and Kale ",Broiled Cod with Fennel and Orange ,Broiled Salmon with Scallions and Sesame ,Brûléed Bourbon-Maple Pumpkin Pie ,"Butternut Squash, Kale, and Crunchy Pepitas Taco ",Cacio e Pepe Pie ,Cheesy Chicken Enchilada Skillet ,Cheesy Delicata Squash and Kale Casserole ,Cheesy Kale and Mushroom Strata ,Chile-Marinated Pork with Vietnamese Brussels Sprouts ,Chilled Coconut Corn Soup ,Cold Sesame Noodles with Broccoli and Kale ,Crispy Chicken and Potatoes with Cabbage Slaw ,Curried Yellow Split Pea Soup with Spiced Coconut ,"Dill-Crusted Pork Tenderloin with Farro, Pea, and Blistered Tomato Salad ",Easy Beef Lo Mein ,Easy Chicken Tortilla Soup with Bean and Cheese Nachos ,Easy General Tso's Chicken ,Easy Lamb Tagine with Pomegranate ,Escarole with Italian Sausage and White Beans ,Fiorentini with Butternut Squash ,Freeform Chicken Meatballs with Carrots and Yogurt Sauce ,"Grain Bowl with Spiced Squash, Mushrooms, and Curried Yogurt ","Grain Bowls with Chicken, Spiced Chickpeas, and Avocado ",Hasselback Butternut Squash with Bay Leaves ,Herb-Crusted Cauliflower Steaks with Beans and Tomatoes ,Herbed Chickpeas ,Herby Chicken Kofta Meatballs ,Hot Honey Pork Chops with Escarole and White Beans ,Hummus Dinner Bowls with Spiced Ground Beef and Tomatoes ,Istanbul-Style Wet Burger (Islak Burger) ,Kabocha Squash Cake with Brown Sugar Cream ,Kabocha Squash and Pork Stir-Fry ,"Kale Salad with Butternut Squash, Pomegranate, and Pumpkin Seeds ",Korean Fried Chicken ,Mexican Meat Patties with Fresh Corn Salsa ,Miso-Tahini Squash Soup with Brown Rice ,Navy Bean and Escarole Stew with Feta and Olives ,One-Pot Curried Cauliflower with Couscous and Chickpeas ,One-Pot Pasta Primavera with Shrimp ,One-Skillet Roasted Butternut Squash with Spiced Chickpeas ,Orange Sweet Rolls ,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios ",Pull-Apart Bread with Pumpkin and Spinach ,Pumpkin Icebox Pie With Snickerdoodle Crust ,Pumpkin Muffins ,Quick Chicken Tikka Masala ,"Quick Pork Ramen with Carrots, Zucchini, and Bok Choy ",Quick Sesame Chicken with Broccoli ,"Quick Sweet Potato, Mushroom, and Black Bean Burrito ",Quick Sweet and Sour Chicken ,Quinoa Bowl with Lentils and Mustard Vinaigrette ,Roasted Acorn and Delicata Squash Salad ,Roasted Butternut Squash with Herb Oil and Goat Cheese ,Rosemary Olive Oil Bread ,Sam's Spring Fattoush Salad ,Sausage and Greens Sheet-Pan Dinner ,"Sheet-Pan Cumin Chicken Thighs with Squash, Fennel, and Grapes ",Sheet-Pan Roasted Squash and Feta Salad ,"Sheet-Pan Skirt Steak With Balsamic Vinaigrette, Broccolini, and White Beans ",Shredded Chicken Salad with Creamy Miso Dressing ,Shrimp Poached in Coconut Milk with Fresh Herbs (Yerra Moolee) ,Shrimp with Herby White Beans and Tomatoes ,Skillet Chicken and Zucchini Enchiladas with Tomatillo Sauce ,"Skillet Phyllo Pie with Butternut Squash, Kale, and Goat Cheese ",Slow-Cooked Chicken Stew with Kale ,Slow-Cooker White Chicken Chili ,Spicy Black Bean and Corn Tacos ,Stuffed Sweet Potatoes with Beans and Guacamole ,Turmeric-Ginger Chicken Soup ,Twice-Baked Butternut Squash With Parmesan Cream and Candied Bacon ,Vegetarian Brown Rice Salad With Parsnips and Whipped Ricotta ,Veggie Burgers with Zucchini and Corn ,Very Versatile Baked Beans With Cabbage ,White Chicken Chili ,Winter Squash Agrodolce 
A Cook ,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maddie Hj from Cape Cod, MA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,
amyhenriott ,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,4,,,,5,,
bas614 from Boston ,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,
"beachcats from Santa Monica, CA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,
"blondoverblue from Sacramento, CA ",,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
"blwyxx4163 from Durango, CO ",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,
"charface from Portland, OR ",5,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"chauriege7236 from Fremont, CA ",,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czf2007 ,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"delooper from Durham, NC ",,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"francoiscat from Seattle, WA ",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
"haneye from Seattle, WA ",,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jackhb from Baltimore, MD ",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,
janekathryn from San Francisco  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
"jansan1 from Orange County, CA ",,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
"jansan1 from Orange County, CA. ",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
"jellis14 from Arlington, MA ",,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,
"jrnalls from Richton Park, IL ",,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,
kpalmer747 from Sweden ,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,5,,,,,
"krf from Bellevue, WA ",,,,,5,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
"leenieloo from Mundelein, IL ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
loriltx from Houston ,,,,,,,,,,,,,,,,5,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
