funding,fvalue,shares,buyout
0,1200000,3000000,0
0,1454000,1454000,1
0,1500000,300000,0
0,1530000,510000,0
0,2000000,800000,0
0,2100000,700000,0
0,2100000,400000,0
1,2500000,500000,0
0,2500000,500000,0
0,2750000,550000,0
0,2750000,550000,0
0,2800000,800000,0
0,3000000,1000000,0
0,3150000,450000,0
0,3200000,640000,0
0,3341250,1215000,0
0,3500000,700000,0
0,3575000,1100000,0
0,3600000,600000,0
0,3600000,600000,0
0,3900000,1200000,0
0,4000000,800000,1
0,4025000,575000,0
0,4050000,1350000,0
0,4100000,820000,0
0,4200000,700000,1
0,4200000,700000,0
0,4200000,700000,0
0,4250000,850000,0
0,4250000,1000000,0
0,4250000,850000,0
0,4375000,625000,0
0,4400000,1100000,0
0,4400000,1100000,0
1,4500000,1000000,0
0,4550000,1300000,0
0,4567500,870000,0
0,4725000,900000,0
0,4875000,975000,0
0,4925000,985000,0
0,4950000,1100000,0
0,4950000,1100000,0
0,5000000,1000000,0
0,5000000,1000000,0
0,5000000,1000000,0
0,5000000,1000000,0
0,5000000,1000000,0
1,5000000,1000000,0
0,5125000,1000000,0
0,5152500,687000,0
0,5208331,833333,0
0,5250000,1050000,0
0,5250000,1750000,0
1,5250000,1500000,0
1,5400000,1800000,0
0,5460000,910000,0
1,5500000,1000000,0
0,5500000,550000,0
0,5500000,1000000,0
0,5600000,800000,0
0,5675000,1135000,1
0,5700000,950000,0
1,5750000,1150000,0
0,5850000,900000,0
0,6000000,2000000,0
0,6000000,1000000,0
0,6000000,1000000,0
0,6000000,1200000,0
0,6000000,1200000,0
1,6000000,1000000,0
0,6000000,1000000,0
0,6000000,1000000,0
1,6000000,1500000,0
0,6090560,1120000,0
0,6250000,1250000,0
1,6300000,700000,0
0,6500000,1300000,0
0,6500000,1300000,0
0,6500000,1300000,0
1,6500000,1000000,0
1,6600000,1200000,0
0,6600000,1100000,0
0,6600000,1100000,0
0,6640000,830000,0
1,6750000,1000000,0
0,6800000,850000,0
0,6900000,690000,0
0,7000000,1000000,0
0,7150000,1100000,1
1,7200000,1200000,0
0,7200000,1200000,1
0,7200000,800000,0
0,7200000,1200000,0
0,7500000,1500000,1
1,7500000,3000000,0
1,7500000,1500000,0
0,7500000,1200000,0
0,7500000,1500000,0
0,7500000,1200000,0
0,7740000,1290000,0
0,7800000,1300000,0
0,8000000,1600000,0
0,8000000,800000,0
0,8100000,1200000,0
0,8250000,1000000,0
0,8400000,1200000,0
1,8400000,1200000,0
1,8500000,1000000,0
1,8550000,900000,0
1,8610000,1230000,0
0,8800000,1100000,0
0,9000000,1125000,1
0,9062500,1250000,0
1,9375000,1500000,1
1,9625000,1375000,0
1,10000000,2000000,0
1,10000000,2000000,0
0,10000000,1000000,0
0,10103125,1325000,0
0,10200000,1700000,0
0,10200000,1700000,0
1,10400000,1600000,0
0,10450000,1100000,0
0,10500000,1500000,0
1,10725000,1300000,0
1,10725000,1300000,0
0,10800000,1200000,0
0,11000000,1000000,0
0,11000000,1100000,0
1,11000003,1571429,0
0,11025000,1225000,0
0,11550000,1100000,0
0,11700000,1300000,0
0,11700000,1300000,0
0,11880000,1320000,0
0,11900000,1400000,0
1,11925000,1325000,0
0,12000000,1500000,0
0,12000000,1500000,0
0,12000000,1500000,0
1,12000000,1000000,0
1,12000000,2000000,0
0,12000000,1200000,0
0,12075000,1050000,0
0,12100000,1100000,0
1,12100000,1100000,0
1,12250000,1750000,0
1,12500000,2500000,0
0,12500000,2000000,0
0,12500000,1250000,0
1,12600000,1800000,0
0,12750000,1700000,0
1,12800000,1600000,0
0,12800000,1600000,0
1,13000000,2000000,0
1,13000000,2000000,0
0,13000000,1625000,0
